,0
333,"['Far-right Turkish leader Umit Ozdag has endorsed opposition candidate Kemal Kilicdaroglu for the Turkish presidency.', 'The opposition challenger is running against Recep Tayyip Erdogan in the 28 May presidential run-off.', 'Mr Ozdag said they had agreed on a plan to send millions of migrants back to their countries within a year.', ""President Erdogan is favourite to win Sunday's vote, having won almost half the vote in the first round."", 'Mr Ozdag, who leads the Victory Party, said he had held similar talks with Mr Erdogan, but decided against endorsing him because his plans did not involve repatriating migrants.', 'His decision contrasts sharply with that of his ultranationalist ally, Sinan Ogan, who won nearly 2.8 million votes as third candidate for the presidency and earlier this week pledged his support for President Erdogan.', 'Turkey hosts the most refugees in the world, with 3.5 million Syrians under temporary protection. But many Syrians are living there unofficially and irregular migrants have also arrived from Afghanistan, Iran and Pakistan.', 'In the run-up to the second round, Mr Kilicdaroglu has doubled down on his pledge to send Syrians home within two years, and he has accused President Erdogan of letting 10 million refugees in. Mr Erdogan has promised to accelerate the voluntary repatriation one million Syrians.', 'Mr Kilicdaroglu was chosen to run for president by an alliance of six opposition parties, but fell 2.5 million votes short of Mr Erdogan on 14 May and needs to attract voters who either backed Sinan Ogan in the first round or did not vote at all.', 'Mr Ozdag said he had agreed a seven-point plan with the opposition challenger that involved sending back all ""refugees and fugitives"", especially Syrians, to their home countries within a year - ""in line with international law and human rights"". He said Turkey\'s biggest problem was ""13 million refugees and fugitives"".', 'Prof Murat Erdogan, who runs the Syrians Barometer, has estimated there are at most six million refugees and irregular migrants in Turkey.', ""Mr Erdogan's AK Party has been in power since November 2002, and he has ruled Turkey since 2003, first as prime minister and later as president."", 'After a failed coup in 2016 he cracked down on dissent, detaining tens of thousands of people, and revamped the presidency as a more authoritarian role with sweeping powers.', ""Mr Kilicdaroglu's allies had been confident of unseating the president with a promise to hand powers back to parliament, but he faces an uphill task in overturning Mr Erdogan's first-round lead. "", 'He is also backed by the main pro-Kurdish party which makes up 10% of the vote. ', 'As part of the agreement with the far-right Victory Party leader, the six-party Nation Alliance is said to have approved a deal saying that all ""terrorist organisations will be fought"", including the Kurdish militant group PKK.', ""That could affect Mr Kilicdaroglu's bid for Kurdish voters to give him their support.""]"
334,"['Hundreds attended the festival of music and culture in Avenham Park', 'Organisers of a Preston festival celebrating the 75th anniversary of the Empire Windrush vessel\'s arrival in the UK say they wanted to thank people for ""being so brave for coming over"".', 'The ship brought hundreds of passengers from various Caribbean islands to help fill post-war labour shortages in 1948, external.', 'Organiser Carol Harris said: ""We wanted to say thank you and look at this wonderful community we\'ve got now.""', 'Hundreds attended the event in Avenham Park.', 'Co-founder Adrian Murrell said: ""Preston had a huge West Indian community back in the 1950s and I just think it\'s only right that we acknowledge what they went through - that\'s why the festival started.""', 'The anniversary is being marked by exhibitions, events and a new set of stamps', 'The HMT Empire Windrush, external vessel docked in Tilbury, Essex, on 22 June 1948, with passengers from the Caribbean along with a number of Polish travellers.', 'People from the Caribbean had been encouraged by the 1948 British Nationality Act that granted citizenship in the UK to all members of the British Empire.', 'However, in 2018, the UK government apologised after it emerged they had not properly recorded the details of those allowed to stay in the UK, which had led to the wrongful deportation of many.', 'HMT Empire Windrush arrived at Tilbury in 1948']"
335,"[""Vice-President Kamala Harris became the Democratic Party's nominee for president relatively late in the 2024 contest - having replaced Joe Biden - and she then selected Minnesota Governor Tim Walz as her running mate. "", 'She released a detailed policy guide, external in early September offering voters a sense of what a Harris-Walz administration might look like. ', 'This focuses on her economic and foreign policy agenda, and highlights her most urgent priority to tackle the cost of living. ', 'Here are her key policy pledges.', 'Who is Kamala Harris?', 'Who is Tim Walz?', 'Where Donald Trump stands on 10 key issues', 'As vice-president, Ms Harris worked with President Biden to pass major economic legislation - regularly labelled ""Bidenomics"" - which included major investments in infrastructure and green energy.', 'Growth and jobs creation have been strong but inflation and high interest rates continue to hit American wallets.', 'In her convention acceptance speech, the vice-president promised mortgage assistance for first-time homebuyers, a tax credit for parents of newborns and bans on price gouging at the grocery store to help target inflation.', 'She added that her plans would create ""an opportunity economy where everyone has a chance to compete and a chance to succeed"".', 'In her first interview as the Democratic nominee with CNN, Ms Harris said that one of her highest priorities was ""to support and strengthen the middle class"", a theme she has repeated on the campaign trail.', 'US election polls: Who is ahead - Harris or Trump?', 'In 2017, while a senator, Ms Harris supported a number of progressive tax programmes. She co-sponsored a bill with former presidential hopeful Bernie Sanders to expand social security for the elderly by increasing the tax rate on investments.', 'As a presidential candidate in 2019, she supported a corporate tax rate of 35%, up from 21%.', ""This was more aggressive than President Biden's proposal, which she also backed, to increase the rate to 28%."", 'During her acceptance speech after being confirmed as the Democratic candidate, she said she would ""pass a middle class tax cut that will benefit more than 100 million Americans"".', 'This refers to the restoration of the Child Tax Credit and the Earned Income Tax Credit. Restoring the expanded Child Tax Credit would give families with newborn children a $6,000 (£4,630) tax cut. ', ""A campaign official also told the BBC that the vice-president would continue to back President Biden's proposal to not raise taxes on Americans earning less than $400,000 (£310,000). "", 'Ms Harris has long supported abortion rights. ', 'She was the first vice-president to visit an abortion clinic, and toured the country after the US Supreme Court overturned Roe v Wade in 2022 to address state abortion bans - often framing the issue as a matter of personal freedom.', 'She has made abortion central to her campaign, and continues to advocate for legislation that would safeguard reproductive rights nationwide.', '“When Congress passes a law to restore reproductive freedoms, as president of the United States, I will sign it into law,” she said at a campaign rally in Atlanta, Georgia.', 'She has reiterated that commitment several times, including during the ABC News debate with Donald Trump.', ""Ms Harris's position on the border has become more moderate over time."", 'On the campaign trail, she has reiterated her continued support for the cross-party border security bill that would have included hundreds of millions of dollars for border wall construction. ', ""It was torpedoed by congressional Republicans in February 2024 at Trump's urging."", 'It would have fast-tracked decisions on asylum cases, limited humanitarian parole, and expanded the authority to deport migrants.', 'The vice-president says she would revive the bill and sign it into law. ', 'She has also said there ""should be consequences"" for people who cross the US border unlawfully, though she previously supported a more lenient approach.', 'As vice-president, she was tasked with tackling the root causes of the record numbers of Central American migrants crossing the southern border. Those numbers spiked during the Biden administration, but have declined in recent months.', 'She helped raise $3bn - largely from private companies - to fund regional investments designed to encourage residents to remain in their home countries.', ""Ms Harris's early career focused largely on domestic issues and those affecting the state of California, but she has become more involved in foreign policy since being elected to the US Senate."", 'As vice-president, she has met 150 world leaders and visited 21 countries.', ""She attended the Munich Security Conference in February 2024, where she spoke in support of western security alliance Nato and denounced Russia's invasion of Ukraine."", ""Ms Harris has vowed to support Ukraine “for as long as it takes”, and represented the US at Kyiv's “peace conference” in Switzerland in June 2024."", 'In her speech at the Democratic convention, she said she warned Ukrainian President Volodymyr Zelensky about Russian aggression five days before the invasion, and had ""helped mobilise a global response"" after the war began. ', 'The vice-president has also pledged, if elected, to reject isolationism and ensure that ""America - not China - wins the competition for the 21st Century"".', 'Ms Harris has been a long-time advocate for a two-state solution in the region, and has called for an end to the war in Gaza.', 'In her convention acceptance speech, she pledged as president to ensure ""that Israel is secure, the hostages are released, the suffering in Gaza ends, and the Palestinian people can realize their right to dignity, security, freedom, and self-determination"".', 'As vice-president, she was one of the first people in the Biden administration to call for an ""immediate ceasefire"", raise concerns over the ""humanitarian catastrophe for Palestinians"" and charge Israel with ending the conflict. ', 'She raised these issues in what she called ""frank and constructive"" talks with Israeli Prime Minister Benjamin Netanyahu when he visited Washington in July.', 'However, she has not supported the arms embargo on Israel which some on the US left want.', 'At the party convention, she said she would ""always stand up for Israel\'s right to defend itself"".', 'She reiterated her support for the country during the debate with Trump, saying ""I have my entire career and life supported Israel and the Israeli people"".', ""In her CNN interview, Ms Harris indicated that she would focus on securing a ceasefire deal, which was President Biden's approach."", 'Earlier in her career, Ms Harris supported expanding publicly-funded healthcare programmes that cover the elderly, youth with disabilities and poor. ', 'This included backing Medicare-for-All, a progressive policy that would make all healthcare publicly funded. She later softened her support for this.', 'Her campaign told the BBC that she would not push for a single-payer system if elected to the White House. ', 'During her vice-presidency, the White House has had health care successes. It reduced prescription drug costs, capped insulin prices at $35, allowed Medicare to negotiate drug prices and capped out-of-pocket expenses for Medicare drug coverage.', 'On the campaign trail, she has said that she wants to erase billions of dollars in medical debt for Americans and would work with states on the issue.', 'Details remain thin, but when she was the California attorney general, Ms Harris regularly used anti-trust laws to put pressure on insurers, hospitals and drug companies to address costs.', ""Ms Harris started her legal career prosecuting child abusers and sex traffickers before being elected district attorney of San Francisco, and then serving as California's attorney general. "", 'She was criticised by the progressive left for increasing conviction rates - particularly of violent criminals - and was at times labelled ""a cop"" - though the right has also accused her of being soft on crime.', 'Ms Harris has also used her past as a prosecutor to serve as a major contrast with her opponent, who was convicted on 34 charges in a hush-money scheme to illegally influence the 2016 election.', ""She mentioned Mr Trump's conviction - and that he had been found liable for committing sexual abuse - in her Democratic party conference acceptance speech."", ""Ms Harris has a history of backing gun safety regulations throughout her political career. While California's attorney general, she successfully defended the state's gun laws when they faced legal challenges."", 'As vice-president, she has overseen the White House Office of Gun Violence Prevention.  Earlier this year, she announced resources to support the implementation of red-flag laws, which are designed to deny firearms to those who may harm themselves and others. ', 'She also encouraged states to tap into $750m in federal funds that the Biden-Harris administration made available for crisis intervention programmes. ', 'Her policy platform includes a ban on assault weapons and high-capacity magazines as well as a requirement for universal background checks. ', 'During the debate she noted that both she and her vice-presidential nominee Tim Walz are gun owners.', 'As a prosecutor, Ms Harris defended California\'s climate laws and sued oil companies for environmental damage. She also called for climate change policies via a ""Green New Deal"" during her 2020 presidential campaign - some of which came to fruition under the current administration. ', 'During a CNN town hall in 2019, she said that ""there is no question I\'m in favour of banning fracking"", which is a technique for recovering gas and oil from shale rock that can be damaging to the environment.', 'But she has since changed her stance. During the presidential debate, she said she cast the tie-breaking vote to pass the Inflation Reduction Act - which opened up new leases for fracking companies - in addition to funnelling hundreds of billions of dollars to renewable energy and electric vehicle tax credit and rebate programs. ', '""My position is that we have got to invest in diverse sources of energy so we reduce our reliance on foreign oil,"" she said.', 'Ms Harris said she will protect public lands and public health, lower household energy costs and hold polluters accountable to secure clear air and water if elected in November, according to her policy document. ', 'SIMPLE GUIDE: Everything you need to know about the vote', 'EXPLAINER: Seven swing states that could decide the election', 'FACT CHECK: Was the US economy stronger under Biden or Trump?', 'POLLS: Who is winning the race for the White House?']"
336,"[""The project, which celebrates migration, is dedicated to JJ Keith's father, himself a first-generation immigrant"", 'Rainbow suits, yoga mats and a human boombox have all brought flashes of inspiration and colour to a photography project celebrating first-generation settlers in the UK.', 'London photographer JJ Keith has been working on the series of portraits for a year.', 'The collection is dedicated to his father, who was born in Vienna and sought refuge in the UK after the rise of the Nazis.', 'Keith\'s Portrait of a Diverse Nation, described as ""intimate pictures of successes, hardships and adventures"", examines the cultural contributions of people from across the world who have found their home in London.', 'Here, the man behind the camera describes some of the people in front of it.', 'Exhibition showcases street art and pig paintings ', 'Selfies wanted for Alexandra Palace giant artwork', 'Thames photographs reimagine historical events', 'Jama, a mental health support worker, was interviewed for his job while he was wearing a rainbow suit. The residents complimented him and when the boss saw the impact he was having, he gave Jama the job', 'Jama Elmi is from Somalia; he moved to the UK when he was eight. His father, having been ambassador to the UK, was able to migrate here with his six children fleeing the civil war.', 'When Jama started school in Chalk Farm, he found it difficult to make friends and integrate. Aged nine, he went and bought himself pink trousers and a Hawaiian shirt. All the kids came flocking.', 'In 2018, Jama was traveling on the Central line from Stratford to Queensway. He looked around and at himself, everything was black, white or grey. Exasperated by the drabness, he went straight out shopping and the passion for the power of flamboyant dressing was reignited. Jama now has between 80 and 90 colourful suit combinations.', ""His suits still play an important therapeutic role in his day-to-day work. Each resident gets to pick their favourite colour for him to wear on a chosen day and when one resident wouldn't talk any more, Jama decided to turn up in a completely 'wrong' clashing outfit. She couldn't resist commenting and soon the communication lines were reinstated."", 'Cat Alip-Douglas: ""Life, like those yoga mats, can be messy. It\'s how we allow them to unravel and unfold that enables us to make sense of the mess instead of sanitising our experience""', 'Cat Alip-Douglas moved to New York from the Philippines with her family at the age of seven. Cat speaks with a subtle soft East Coast accent.', 'Her life in metropolitan Manila was a privileged one. At the time, it was still under a dictatorship and divided into the haves and have-nots. Her parents employed domestic help, not out of desire or necessity but to aid those in need. She remembers the first morning of school in the US being laughed at by her sisters for sitting on the end of her bed with arms raised waiting to be dressed. ', 'On September 11, 2001, Cat was in the office when Flight 11 crashed into the North Tower. The focus on an upcoming work event meant she remained rooted to her desk, highlighting her ""obliviousness and self-absorption"". ', 'Like for so many, this turned out to be a wake-up call and a defining moment in her life. The yoga practice and its spiritual learnings became a lifeline.', 'Elizabeth Akalawu came to the UK 60 years ago, intending to stay for two years', 'Elizabeth Akalawu was born in Imostate, south-east Nigeria, where her parents were yam farmers.  ', ""She planned to come to the UK for two years - but 60 years later she's still here. It wasn't an easy start though; she used to cry from homesickness."", ""In the 80s as a school nurse in Brent, she discovered black parents were fearful of going to parents' evenings and disadvantaged children were suffering. So, 'Nurse Liz' went on home visits to persuade the parents to attend. It worked. School nurses across Brent then followed suit. "", 'A new era began.', 'France was ""too judgemental"" for Florent Charly Romain Bidois', 'Florent Charly Romain Bidois was born in 1986, ""just like Lady Gaga"". His parents were both cleaners for a city council near Rennes and still live where they grew up.', 'He says: ""I am different. I am a Breton through and through, I\'m a sailor, I\'m a traveller, I\'m an adventurer. I am Indiana Jones. Rennes was too small and France too judgemental.""', 'Florent initially came to London in 2011 for a pattern-cutting internship and immediately felt a sense of belonging. He also came because of his love of the English language, but quickly realised London gave him the space to develop and express himself.', 'As a child, Jai Kumari Gir delivered two of her own brothers', ""Dr Jai Kumari Gir was born in 1934 in Hyderabad, a childhood she describes as 'completely idyllic'. In a sign of things to come, she delivered two of her own brothers when her mother went into labour. "", ""They called her the 'gypsy girl' because of her incessant lust for travel and adventure and it soon became clear she wanted to make a career for herself in England, not least because she had a thing about a classy English gentleman, with a particular penchant for Roger Moore."", ""She buckled down and studied hard. It took four months to get exams results in those days as the papers were shipped back to the UK. She gained a place at Girton College, Cambridge but because of currency restrictions couldn't take it up. She continued to study in India till the restrictions eased and then took a place at West London School of Medicine (now Charing Cross Hospital) in 1956."", 'She was quick to integrate into the UK, something she believes was helped by the lightness of her skin. ', 'She ""loved necking ciders"" in and around Holland Park and Notting Hill. ', 'As a gynaecologist for many years and then a doctor in general practice, she stresses the health service in the 1960s was under the same pressure due the squeezing of resources.', 'Viveth Hardy makes commuters smile with her special gift of song', 'Viveth Hardy is ""Jamaican born and bred"". ', ""Since moving to the UK, she's been making commuters smile with her special gift of song. Why does she do it? "", 'She says: ""It warms my heart. It\'s something to do with the within. I don\'t do it because I want to sing. It\'s a spiritual thing. I can\'t control it.', '""If it comes, I have to get with it. I don\'t have any shame in my game. I be on the platform. I be on the street. I be at home. I just sing.', '""I be sleeping. I wake up in the morning with a song in my head. I just sing. I\'m like a boombox."" ', ""She's a boombox that's a bit of a legend in Kensal Rise."", ""JJ Keith's London section of Open Britain: Portrait of a Diverse Nation, external can be seen with the rest of his portfolio on his website.""]"
337,"[""A man has been given a 22-month jail term after escaping from Yarl's Wood detention centre"", 'A 26-year-old man who escaped from an immigration removal centre has been jailed for 22 months after admitting violent disorder.', ""Arnold Lleshaj went on the run after escaping from Yarl's Wood, external detention centre near Bedford in April last year."", 'Lleshaj was one of 13 men convicted as a result of the investigation into the escape.', 'Detainees had fled after a riot at the centre, which police said led to a ""nationwide manhunt"".', 'Appearing at Luton Crown Court, Lleshaj admitted escaping lawful custody, causing criminal damage and violent disorder. ', 'Bedfordshire Police said he was one of eight men in total who had now admitted escaping lawful custody.', ""Yarl's Wood, in Milton Ernest, is an immigration removal centre where people with disputed immigration status can be detained without a defined time limit."", 'It has been run by Serco since 2007.', 'In October, an inspection found the centre was ""no longer safe"".', 'A HM Inspectorate of Prisons report, external said 41% of detainees felt unsafe at some time, but there was ""little overt violence"".', 'The Home Office said it was ""committed to ensuring detention and removals are carried out with dignity and respect"".']"
338,"['Similar signage has been seen before in places including west Belfast, Belvoir and Newtownards', 'A Finaghy resident has said anti-immigrant signs in the area - including one outside his house - left him afraid to leave his home.', 'Takura Donald Makoni said he first saw the signs on Saturday, when he reported them to police.', 'The placards read: ""We have had enough of undesirables and immigrants being placed into our community.""', 'Similar signs have previously been seen in places including west Belfast, Belvoir and Newtownards.', 'The signs in Finaghy also say: ""The time has come for locals only.""', 'Mr Makoni, who works with the African & Caribbean Support Organisation in Northern Ireland, said he did not believe the views expressed on the signs were shared by the Finaghy community. ', '""I\'ve lived in Finaghy for three years now and I feel very welcome, I have made friends with neighbours and so on,"" he said.', '""So it is not that I felt the people around me, that I know, had these feelings about me, but you just feel weird.""', 'The signs were placed on lampposts', 'He said he had been tempted to remove the signs but had ""trepidation"" about who was watching. ', 'The signs remain in place four days after Mr Makoni reported them to the Police Service of Northern Ireland.', 'Police said they understood concern about ""these offensive and unacceptable posters"".', 'Anti-immigration signage a hate incident - police', 'Supt Finola Dornan said there could be no excuses for the signs.', '""Hate has a far-reaching and damaging impact on the whole community,"" she said.', '""We are committed to doing everything possible to prevent incidents, support victims and pursue perpetrators.', '""South Belfast Neighbourhood Policing Team has been working together across the local community and with partner agencies to secure a removal of these posters. ""', 'She added that patrols had been stepped up in the area to ""provide necessary reassurance"".', 'A spokesperson from the Department for Infrastructure (DfI) said: ""The Department is aware of the posters. Racist\xa0and intimidatory signs should not be erected on public infrastructure"" adding that DfI will work with the PSNI to remove the signs. ', 'A Housing Executive spokesperson said they did not believe the signs reflected the values of the local community.', '""We work proactively to promote inclusivity and diversity in our homes and estates and that is why it is particularly disappointing when incidents of this nature occur,"" the spokesperson said.', '""All our housing allocations will continue to be carried out in line with the rules of the common housing selection scheme.""', 'Social Democratic and Labour Party councillor Donal Lyons called on the Department for Infrastructure and the Department of Justice to ""take action"".', '""I think it\'s absolutely disgraceful that six months on these posters, that are nothing more than racist intimidation, are still being erected across the city,"" he said. ']"
339,"['Nella Rose questioned Nigel Farage on his attitudes towards immigration', ""Nella Rose has accused Nigel Farage of being anti-immigration on Wednesday's episode of ITV's I'm A Celebrity... Get Me Out of Here!"", 'The YouTuber said the former politician wanted people like her ""gone"" from the UK whilst discussing his policies to reduce immigration.', 'Rose said she had read online that Farage was ""anti-immigrants"".', ""She also asked why black people didn't like him. "", 'Former UKIP and Brexit Party leader Farage replied by saying ""You\'d be amazed, they do,"" and Rose replied: ""So everyone hates you for no reason?""', 'Farage responded: ""You can disagree with somebody, but to chuck around accusations the way they\'ve been chucked around is grossly unfair.', '""Anti-immigrant, right? No, no, all I\'ve said is we cannot go on with the numbers coming to Britain that are coming.""', 'Whilst standing in the bath area of the camp, Rose pressed Farage on what the ""problem"" was with immigration and added that as someone who moved to the UK as a child she was ""one of those numbers"".', 'Farage, who currently works as a presenter on GB News, said the number of people entering the UK was affecting GP appointments.', ""I'm A Celeb: Viewing figures fall by two million"", ""I'm A Celebrity: This year's line-up confirmed"", 'Rose, who has one million followers on Instagram and TikTok, replied: ""I\'m stopping you getting a GP appointment? You\'re not getting an appointment because the NHS is lacking funding.', '""I bet you anything if every single immigrant or from immigrant descent was to leave the UK, all your doctors gone, most of your doctors are Asian right? Most of your nurses are African women, right?', '""You want us gone, that\'s all I understood.""', 'Farage then said Rose was not listening to him, before adding: ""We can agree to disagree.""', 'Nella Rose and Fred Sirieix had a heated conversation earlier in the week.', ""It's not the first time that Farage has been questioned on his political beliefs in the I'm A Celebrity camp. "", ""On Monday's episode he was criticised by fellow contestant, First Dates star Fred Sirieix, about a poster he used in his campaign for the UK to leave the European Union during the 2016 referendum."", 'Sirieix said it was ""shameful"", adding that Farage was ""demonising migrants"".', 'Farage replied: ""In your view it was, but it wasn\'t.""', 'Sirieix also had a disagreement with Rose earlier in the week after a row around the campfire when he was cooking.', 'Discussing his bad eyesight, he told Nella: ""I\'m 51. I\'m not 26 any more am I? I could be your dad"". ', 'Rose, who had previously told him she had lost both her parents, said the comment made her feel ""disrespected"" and despite a later apology from Sirieix, added she no longer wanted to talk to him. ', ""This year's show is attracting lower viewing figures than last year, with the injection of two new contestants hoping to provide a boost."", 'Jockey Frankie Dettori and retired professional boxer Tony Bellew were announced as late arrivals on the show on Wednesday evening.', 'It was watched by 6.18m people, which includes live viewing and some, but not all of those who streamed the episode online.']"
340,"['The body of Maynor Yassir Suazo Sandova was found on Friday', 'The collapse of the Francis Scott Key Bridge has left multiple families in the US city of Baltimore and across Latin America grieving lost loved ones. ', 'Six men - all construction workers fixing potholes on the bridge - died when they were plunged into the water after a container ship hit the bridge, causing its collapse on 26 March.', 'Two bodies were recovered a few days after the disaster, but then divers had to suspend their search due to the dangers posed by the bridge debris. A third body was recovered more than a week later.', 'A fourth body was identified in mid-April and a fifth and sixth were recovered in May.', 'The men worked for an independent, Maryland-based contracting company called Brawner Builders. All were from El Salvador, Guatemala, Honduras or Mexico.', 'John Huntzberry, who used to work with the firm, told the Baltimore Sun: ""These guys were friends and brothers and uncles and grandsons and nephews."" ', 'Here is what we know about them:', 'Suazo, 38, was confirmed to be among those missing by the Honduran Consulate in the US.', 'Where Baltimore bridge investigation goes now ', 'He had lived in the US for the past 18 years and was married with two children, a five-year-old daughter and an 18-year-old son, his brother told US media.', 'Carlos Suazo Sandoval described his brother as a very hard working man who had moved to the US from Honduras in search of a better life for his family.', ""He said he had dreamed of owning a small business and often donated money to a children's football league in Honduras."", ""Some of Suazo's family members paid tribute to him on social media."", '""I can\'t believe this Maynor, that Friday would be the last time I saw you,"" one woman wrote in Spanish on Facebook. ""I will always remember you."" ', ""Suazo's body was recovered by a team of divers on 5 April, more than a week after the bridge had collapsed."", 'Luna, originally from El Salvador, was identified as missing by the non-profit organisation CASA, which assists immigrant communities across the US.', '""He is a husband, a father of three, and has called Maryland his home for over 19 years,"" CASA executive director Gustavo Torres said in a statement.', 'Marvin Luna, his son, told the Washington Post that he knew his father was on the bridge overnight but did not know it had collapsed until friends called him and said: ""The bridge is gone.""', ""A former co-worker, Moises Diaz, told the BBC's US partner CBS that Luna was a kind person and a hard worker. He remembered him always sharing his food with his co-workers and friends."", 'Mr Diaz said Luna was like a brother to him.', 'His body was recovered in early May.', 'Miguel Luna is one of the six men presumed dead, according to non-profit organization Casa', ""Mynor Lopez's family confirmed that he is one of the men missing in an interview with CBS News in Baltimore."", 'His wife Isabel Franco said the 35-year-old, originally from Guatemala, moved to the US almost two decades ago. She said he was a loving father to their child and three stepchildren.', '""He had a good heart. He was a hard worker. He was always worried about his family too. He died but he was fighting for us always,"" Ms Franco said.', 'Hernandez, 35, originally from Mexico, was a father of four, according to the Baltimore Sun newspaper. ', 'People who knew him described him as a ""selfless man, devoted to his family and active in his church"". ', 'He was also described as a ""fireball"" with a big personality. ', 'Speaking about her son\'s death to NBC News, Obdulia Fuentes Ortiz said: ""I have a deep pain in my heart; I don\'t know how to describe it.""', 'She had said goodbye to him the day of the incident and asked him to be careful before he headed out to work, unaware that it would be the last time they would speak.', 'His body was one of two recovered from the Patapsco River. ', ""Officials named Castillo Cabrera, 26, as one of the six victims after his body was recovered alongside Hernandez's from a submerged pickup truck. "", 'His relatives told CNN that he moved to the US from Guatemala to pursue his dreams and help his mother. ', 'Castillo had worked at Brawner Builders for at least three years and loved his job.', '""Unfortunately, he was in a place where no one imagined what was going to happen,"" his cousin, Marlon Castillo, said.', 'The sixth victim was identified by Mexican consulate officials as Carlos Daniel Hernandez. ', 'On 14 April, he became the fourth victim recovered from the Patapsco river. ', 'Mexican Foreign Minister Alicia Bárcena said on X, formerly Twitter, that Hernandez ""represents our Mexican workers in the US."" ', 'A third Mexican national, later identified as Julio Cervantes, was one of two men who were rescued after the bridge collapsed in the early hours of Tuesday morning. ', ""At a news conference on 15 April, Mr Cervantes' lawyer told reporters that his client - who is unable to swim - was able to survive after escaping through the window of a work vehicle and clinging to debris. "", '""He fought for his life, and he survived,"" attorney Justin Miller said. ', 'Another lawyer, L Chris Stewart, said that the experience had left Mr Cervantes ""with severe mental and emotional pain and suffering"". ', 'This video can not be played', 'Watch: How a major US bridge collapsed after being struck by a ship']"
341,"['This video can not be played', 'Watch: US cancer patient ‘blessed’ after $1.3bn lottery win', ""A Laos-born immigrant battling cancer has won a massive $1.3bn (£1bn) on Powerball - America's lottery game, competition officials have revealed."", 'They say Cheng Saephan, aged 46, bought the lucky ticket for the 7 April draw in the city of Portland, in the northwest of Oregon state.', 'He chose to take his winnings as a lump sum of $422m after taxes to be shared evenly with his wife and a friend.', '""Now I can bless my family and hire a good doctor for myself,"" he said.', '""My life has been changed,"" Mr Saephan told CBS affiliate KOIN, revealing that he had prayed to God for help. ', 'He added that he now wanted to buy a dream family house, and would continue playing Powerball.', '""I might get lucky again.""', ""CBS is the BBC's media partner in America."", 'Mr Saephan - who has been undergoing chemotherapy for the past eight years - said that he, his wife and the friend had teamed up to buy more than 20 Powerball tickets for the 7 April draw.', 'The winning numbers were 22, 27, 44, 52, 69, and the red Powerball 9.', ""It was the fourth-largest jackpot in the Powerball's history, with the biggest so far being $2.04bn in 2022."", 'Powerball tickets cost $2 each and are sold in 45 US states, the District of Columbia, as well as Puerto Rico and the US Virgin Islands.', 'Huge billion-dollar prizes have become more common as ticket prices have been raised.', 'The game has also been tweaked, with players now choosing five numbers from one to 69 instead of from one to 59 under the previous rules.', 'Players also select the Powerball - their sixth number - from one to 26, instead of one to 35 as it was previously.', 'That decreases the chance of winning the grand prize from one in 175.2 million to one in 292.2 million.']"
342,"['Unaccompanied minors who cross the English Channel are often placed in hotels by the Home Office', 'The deputy leader of Brighton and Hove City Council has written to the immigration minister, claiming the Home Office has ""failed in its duty of care"" to asylum seeking children.', 'Sussex Police have said 76 minors housed in the city are currently missing.', ""Councillor Hannah Allbrooke said asylum seekers were placed in Brighton with only 24 hours' warning."", 'The Home Office said the welfare of minors was an ""an absolute priority.""', 'Across the country 116 children placed in hotels went missing between July 2021 and August 2022.', 'In her letter to Robert Jenrick, Green councillor Ms Allbrooke said the Home Office was attempting to ""push the blame onto local bodies"" by stating in a newspaper article that local authorities have a statutory duty to protect children.', 'She said: ""We believe this is an overt attempt to shift responsibility.', '""The Home Office has chosen to use these hotels. The Home Office has been repeatedly clear to us as a local authority that it is the responsibility of your department to care for the welfare of these children.""', 'Referring to a letter sent to previous Home Secretary Priti Patel in July 2021 calling for clarification on who is responsible for child asylum seekers, Ms Allbrooke wrote: ""Our concerns today are the same, that the department has failed in its duty of care to these children and young people.""', 'A Home Office spokesperson said: ""The wellbeing of children and minors in our care is an absolute priority.', '""Any child or minor going missing is extremely serious, and we work around the clock with the police and local authorities to urgently locate them and ensure they are safe. ', '""We are determined to stop the use of hotels for all minors. To achieve this goal, we are providing local authorities with £15,000 for every unaccompanied child they take into their care.""']"
