time,source,keyword,frame,D/H,link,relevancy,immigrant category
1,1,1,11,0,https://metro.co.uk/2023/01/06/jameela-jamil-rages-at-rishi-sunak-over-anti-strike-laws-18051835/,0,5
1,1,1,9,1,https://metro.co.uk/2023/01/08/first-steps-of-windrush-arrivals-in-britain-celebrated-in-75th-year-18046585/,1,5
1,1,1,9,1,https://metro.co.uk/2023/01/17/my-family-fled-to-the-uk-but-dad-had-to-stay-behind-i-saw-him-9-years-later-18081821/,0,5
1,1,1,8,1,https://metro.co.uk/2023/01/10/even-before-my-season-of-bake-off-aired-i-got-xenophobic-abuse-18064048/,0,5
1,1,1,9,1,https://metro.co.uk/2023/01/27/my-sister-and-i-fled-nazis-as-children-22-of-my-relatives-were-killed-18150868/,0,5
1,1,1,8,1,https://metro.co.uk/2023/01/31/my-family-left-syria-when-i-was-12-ive-gone-back-to-build-hospitals-18156293/,1,2
2,1,1,8,1,https://metro.co.uk/2023/02/12/asylum-seekers-make-sacrifices-to-survive-amid-cost-of-living-crisis-18198056/,0,2
2,1,1,2,0,https://metro.co.uk/2023/02/14/i-came-from-albania-to-the-uk-in-the-back-of-a-lorry-with-my-two-daughters-18275077/,1,5
2,1,1,4,0,https://metro.co.uk/2023/02/26/italy-more-than-30-dead-after-migrant-boat-carrying-100-breaks-apart-18349779/,0,5
3,1,1,9,1,https://metro.co.uk/2023/03/06/in-march-of-all-months-where-are-glastonburys-female-headliners-18392624/,1,5
3,1,1,2,0,https://metro.co.uk/2023/03/19/my-brother-sister-and-i-fled-afghanistan-we-havent-seen-our-parents-since-18454434/,1,3
2,1,1,3,0,https://metro.co.uk/2023/02/21/im-an-asylum-seeker-and-was-in-the-hotel-targeted-by-far-right-rioters-18316836/,0,5
2,1,1,9,1,https://metro.co.uk/2023/02/24/i-had-to-leave-my-husband-in-ukraine-while-my-kids-and-i-fled-to-the-uk-18333956/,1,1
3,1,1,9,1,https://metro.co.uk/2023/03/07/i-moved-to-the-uk-50-years-ago-racisms-plagued-my-life-ever-since-18354293/,1,5
3,1,1,8,1,https://metro.co.uk/2023/03/14/gbbos-sandro-i-never-met-my-father-baking-was-my-therapy-after-his-death-18433552/,0,5
4,1,1,2,0,https://metro.co.uk/2023/04/05/i-was-kidnapped-and-tortured-by-the-militia-for-13-days-after-i-escaped-to-the-uk-18552565/,1,5
4,1,1,12,0,https://metro.co.uk/2023/04/13/i-rely-on-food-banks-to-feed-my-kids-so-i-can-pay-home-office-visa-fees-18590347/,1,5
4,1,1,9,1,https://metro.co.uk/2023/04/19/i-was-orphaned-in-the-holocaust-after-nazis-shot-my-dad-and-brother-18632272/,1,5
4,1,1,2,0,https://metro.co.uk/2023/04/25/in-india-being-a-woman-is-hell-the-uk-has-been-my-feminist-utopia-18663698/,1,5
5,1,1,4,0,https://metro.co.uk/video/barge-rented-government-house-migrants-arrives-falmouth-2935895/,0,5
5,1,1,2,0,https://metro.co.uk/2023/05/14/editor-sorry-for-ai-story-saying-irish-women-wear-too-much-fake-tan-18782439/,1,5
5,1,1,9,1,https://metro.co.uk/2023/05/02/im-an-immigrant-but-people-dont-see-me-as-one-because-im-white-18690205/,1,5
6,1,1,3,0,https://metro.co.uk/2023/06/14/rnli-lifeboat-crews-saved-lives-of-108-migrants-in-channel-last-year-18947512/,0,5
6,1,1,9,1,https://metro.co.uk/2023/06/03/snapshot-75-years-of-caribbean-culture-londons-windrush-legacy-18885020/,1,5
6,1,1,9,1,https://metro.co.uk/2023/06/30/is-your-uncle-pablo-escobar-what-not-to-say-to-a-latinx-person-18974418/,0,5
6,1,1,2,0,https://metro.co.uk/2023/06/30/boston-woman-criminally-charged-after-posing-for-entire-year-as-high-school-student-19045192/,1,5
5,1,1,9,1,https://metro.co.uk/2023/05/15/living-in-the-uk-going-home-to-gaza-is-a-nightmare-i-missed-my-dads-funeral-18751432/,0,6
5,1,1,9,1,https://metro.co.uk/2023/05/23/i-was-punched-in-the-face-for-my-american-accent-but-i-still-love-the-uk-18786957/,1,5
5,1,1,9,1,https://metro.co.uk/2023/05/30/at-19-i-left-grenada-for-the-uk-70-years-later-and-both-countries-are-my-home-18849821/,0,5
6,1,1,9,1,https://metro.co.uk/2023/06/06/music-got-me-through-the-trauma-of-war-now-i-use-it-to-help-victims-of-torture-18868966/,0,5
6,1,1,2,0,https://metro.co.uk/2023/06/20/i-attempted-suicide-twice-while-awaiting-a-decision-on-my-asylum-case-18956305/,0,3
6,1,1,13,1,https://metro.co.uk/2023/06/22/the-windrush-scandal-left-me-homeless-and-jobless-after-43-years-2-18995131/,0,5
6,1,1,13,1,https://metro.co.uk/2023/06/27/im-russian-claiming-asylum-in-the-uk-because-im-outspoken-against-putin-18996296/,0,5
7,1,1,9,1,https://metro.co.uk/2023/07/05/immigrants-like-me-are-the-lifeblood-of-the-nhs-19014076/,1,5
7,1,1,7,1,https://metro.co.uk/2023/07/11/i-fled-ukraine-with-my-disabled-daughter-waiting-lists-forced-us-back-to-a-warzone-19057390/,0,1
7,1,1,8,1,https://metro.co.uk/2023/07/18/as-a-child-refugee-i-fell-in-love-with-comics-now-i-write-for-marvel-19079741/,0,5
7,1,1,2,0,https://metro.co.uk/2023/07/25/i-was-tortured-in-ethiopia-the-uk-asylum-system-feels-like-another-jail-19087649/,0,5
8,1,1,10,1,https://metro.co.uk/2023/08/01/as-my-hometown-burns-i-sit-and-watch-from-the-uk-i-feel-guilty-19226645/,1,5
8,1,1,9,1,https://metro.co.uk/2023/08/08/why-should-i-have-to-pay-1330-just-to-become-a-british-citizen-19268816/,1,5
